text,label,type
"尊敬的客户，您好！我是京东客服代表XXX。我们发现您的京东金融账户存在一项不符合银保监会规定的服务——利差业务，因此我们需要立即取消这项服务并采取相应措施以保障您和其他客户的权益和安全。为了完成这一流程，请您配合我们将所有与该项服务的有关贷款进行冻结处理；同时为确保操作无误及信息准确传达给您本人以及后续相关人员核实情况需要下载小鱼易连APP、乐播投屏软件登录后输入连接码进入在线会议界面协助办理此事项.",5,fake_after_sale
"尊敬的联通玩家，您好！我们非常高兴向您推荐PLACE联通的游戏免流量下载服务。现在有花心卡丁车这款游戏中的S级赛车NAME花心的神秘大礼包等待您的领取和使用体验。使用我们的链接进行点击并注册后即可享受免费流量的下载和快速登录特权以及七项其他神秘特权的优惠活动（DIGITm）。请立即通过以下URL使用手机号参与：（URL）",0,normal
"......好了xxxx年用什么方法来管理好您的美容院吗？您想好了用什么项目成为您美容院的核心竞争力？您找到美容行业xxxx年的趋势轨道了吗？您还想继续走在行业的末端吗？您还想让您的新老顾客被附近的同行取而代之吗？“抢人！抢地盘！抢钱！抓紧商机就是抓住圈子，抓住圈子就是抓紧金钱！”您还在犹豫什么呢，您的对手是不会犹豫的，心动就快快行动吧！只要美寰科技的品牌项目进入您的店",0,normal
"我们楼盘有个三八妇女节《爱在xxxx》主题摄影活动，届时我们将针对女性购房客户推出xx套特供房",0,normal
"尊敬的客户，您好！这里是理赔客服。我们发现您的快递信息有误，为了方便处理您的问题和保障资金安全起见建议您下载“全视通云会议”APP并加入一个特定的会议室中来解决问题哦～您按照我们的指引操作了吗？请您先不要挂断电话保持通话状态；然后进入这个链接，点击在线咨询按钮联系到人工坐席后告知我一下好吗？",5,fake_after_sale
"您好，我是招联金融的工作人员。请问您需要贷款吗？我们提供快速、便捷的线上贷款服务。首先，我们需要您添加我们的业务员微信号进行办理。他会询问您的相关信息并给您发送一个APP下载链接。在完成注册和填写信息后，对方会告诉您正在审核中但需要进行解冻操作才能收到款项。这包括拍照身份证和银行卡等个人信息以及再次转账的操作直到成功为止。如有任何疑问或不适宜的情况请立即停止相关行动并与我联系以保护自己的利益谢谢！",3,fake_loan
"柳PLACENAME社区一二层商场现火爆招商中也出售三至DIGIT楼电梯可分期付款，即买即可住。电话CELLPHONEXXXXXX请联系我！",0,normal
"美女，看你头像很有气质，我这有个高端投资群，分享内幕消息，收益非常可观。",4,fake_investment
"您好，我是阜阳市共公安局的警员，我注意到您可能涉嫌洗钱犯罪。您需要立即到我们这里接受调查，并配合我们的工作。如果您无法亲自前来，请添加我们的QQ号，我们将通过QQ进行远程办公。您需要下载一个名为“亿联会议乐播投屏”的APP，以便我们进行远程审查。我们将指导您完成审查过程，并确保您的卡能够得到妥善处理。请注意，您的账户可能会被暂时冻结，以确保资金的安全。如果您需要进一步了解情况或有任何疑问，请随时与我们联系。谢谢您的配合。",1,fake_public_security
"你昨天推荐的那家川菜馆真不错，我们周末又去了一次。",0,normal
"我是XX，由于航班出现了一些问题导致我需要重新预定机票。我已经通过银行转账支付了费用，但需要两小时才会到账。我请求你能否先帮我垫付一下新的机票款项？我会尽快将钱款还给你并表示感谢的。",8,fake_beg
"你的股票被套了？进群听老师免费解盘，并赠送一支即将启动的潜力牛股。",10,fake_stock
"x月x日～xx日到店新老顾客可手抓现金！抓多少送多少！减肥，养生",0,normal
"万精装别墅要现房发售。看好再买独门独院样板间！详询电话号码XXX-XXXXXX",0,normal
"您的韵达快递已到达，请尽快取件。",0,normal
"您好，本店主要经营燕窝，参茸，虫草等健康保健的养生补品，品质有保证，价格最实惠",0,normal
"1.福建省欢迎您，愿您的旅程充满惊喜与快乐！",0,normal
"家里孩子不玩了，这个满级账号便宜卖。平台交易有风险会被找回，私下转我，保证安全不找回。",9,fake_trade
"尊敬的用户，您好！这里是申通快递客服。我们发现您在拼多多上购买的书籍未能成功处理退款事宜。经过查询，我们的系统显示您的款项已经通过支付宝转到您指定的账户中。为了确保您可以及时收到退款的详细信息以及后续操作问题，我们已经安排了专门的支付宝客服与您联系解决问题和提供必要的帮助指导。稍后请您注意接听来自支付宝的电话或短信通知并按照提示进行相关操作以确保顺利解决您的问题并对给您带来的不便表示歉意感谢您的配合和理解谢谢!",5,fake_after_sale
"你好，我是汇丰银行的经理。你最近有贷款的需求吗？我们有一款非常优惠的贷款产品想介绍给你。为了方便办理手续和提供服务支持，我们需要先进行扫码登记信息操作。请扫描屏幕上的二维码并输入你的手机号完成注册后联系我获取更多详情及后续流程指导。谢谢配合！",3,fake_loan
"亲，您好！x月x日使用淘点点在未来养生水果超市消费吃多少返多少，最高返现xx元，优惠力度空前绝后，还等什么",0,normal
"亲爱的会员，新年喜气洋洋！为您推荐三枪内衣的精选款式。作为我们的尊贵客户，现在购买满DIGIT元即可获赠DIGIT元券多张；买得多送得更多哦~限时活动时间止询HOTLINE号码如下：请及时联系获取您的专属优惠码并享受折后好价吧!",0,normal
"尊敬的中国联通用户：我们很高兴地宣布，我们已经全面升级到4G网络。现在您可以在中国联通的网络覆盖区域内畅享高速上网体验，资费标准保持不变。请参考以下步骤激活您的手机功能以享受更快的网速和更好的服务品质！详情请您登录我们的官方网站了解更多信息并按照相关指引进行操作。选择中国联通的4G网络，让您随时随地都能快速、稳定地上网冲浪！",0,normal
"喂，您好！这里是‘央视非常6+1’节目组。恭喜您获得砸金蛋大奖，奖金9万元和三星手机一部！请先向指定账户汇款3500元作为个人所得税。",6,fake_lottery
"你好，我是XX。我在美国准备回国，需要你帮忙代付东方航空的机票款项，我给了一个航空公司客服的邮箱地址XXXX。我已经通过中国银行转账给你了。你能帮我付一下机票吗，国内转账可能要2小时才会到账，你先帮我付款。",8,fake_beg
"急用钱，99新iPad贱卖，平台要审核好几天，你诚心要就私下转，我马上给你单号。",9,fake_trade
"还在为解套发愁？加入我们的实战群，老师一对一指导，助你快速回本并实现翻倍。",10,fake_stock
"上次借你的那本书看完了吗？不着急还。",0,normal
"淘宝网加大码男装会员名（NAME），夏季第三波新品上架啦！老名字凭案号“雷立”减元。满减优惠与回订同步进行中至月日结束哦~如有疑问请联系客服咨询退订事宜～",0,normal
"周年庆狂欢无极限最后小时紧急补货亿红包喷发！好品质的好货飚低价疯狂抢购快准狠。请回复td退订唯品会活动哦~",0,normal
"，名额有限，前xx名再优惠xxxx元",0,normal
"紧急通知！你的校园贷账户因政策调整已被标记，如不立即处理将上报征信系统。请马上联系我办理注销。",7,fake_credit
"您好！这里是咸阳市疾控中心。我们注意到您近期可能与新冠密接人员有过接触，我们需要您配合进行隔离调查工作。请您不要惊慌失措或随意相信他人所说的话，我们的电话联系是出于警方的安全考虑和保护措施的必要手段。请确认一下您的姓名是否为鲁小娟？如果您确实是本人并且未曾去过市内任何公共场所或者与确诊病例有直接关联的人员交流过的情况下...那么我必须向您说明的是这种行为可能会涉及到一些法律问题以及可能面临的刑事责任等等情况。所以为了避免不必要的麻烦和经济损失等后果的发生，建议您积极协助警方的工作并尽快与我们取得进一步的沟通以便于进一步核实相关情况和细节信息.如有需要可以添加微信号XXXXXXXX来进行语音及视频聊天以方便沟通和了解具体情况进展如何了?",1,fake_public_security
"我是XX，我现在支付有些问题。你能不能帮我解决一下？这是购物客服的微信号XXXXXXX，你可以加她好友然后告诉她是我，让她帮忙处理下付款事宜就可以了",8,fake_beg
"尊敬的用户，您好！我们很高兴地通知您，“NAME科技农贸菜市场”正在举办一场活动。只要您的移动营业厅账户余额超过DIGIT元（最高可获得DIGIT元话费），即可免费领取最新款的智能手机一部。此次活动的地点在“路”，时间为今明两天。“速度办理”！期待您的参与和支持！如有任何疑问或需要帮助请随时联系我们的客服人员。谢谢您的支持与关注！",0,normal
"尊敬的客户您好！人保电话车险为您服务：快速获取车险报价，免费送单上门",0,normal
"全新iPhone15ProMax，只要2000！平台手续费太高了，加我VX直接转我，马上发货。",9,fake_trade
"亲爱的奈爱霓女装旗舰店顾客们！今天来店铺领取限量优惠券再减XX元。仅限两日哦~详情请咨询店员或访问我们的网站了解更多信息!URL:[URL]（链接）",0,normal
"亲爱的固本堂旗舰店，虽然不想打扰您们的工作。但这次的活动太划算了！聚划算抢年货传统DIGITg阿胶糕DIGIT元包邮的优惠活动真的非常吸引我~能否麻烦告知下这个活动的具体时间和规则呢？谢谢您的耐心回复～期待下次的合作机会!",0,normal
"尊敬的客户，感谢您使用邮政储蓄银行的服务。我们将继续为您提供优质、便捷的支持和帮助！",0,normal
"周末我们打算去郊野公园烧烤，你和晓丽有兴趣一起来吗？",0,normal
"亲，这款保温杯的杯盖是塑料的还是不锈钢的？",0,normal
"小姐姐，这款绝版包包专柜两万，我这儿两千，但平台不让挂这么低，你私我银行卡号，我发链接你拍1元就行。",9,fake_trade
"这周末天气好像不错，要不要带孩子去公园野餐？",0,normal
