text,label,type
"妈妈，今晚加班不回家吃饭了，不用等我。",0,normal
"您的快递已到菜鸟驿站，取件码: 123456，请及时领取。",0,normal
"【京东】您的订单已发货，物流单号: SF1234567890，预计明天送达。",0,normal
"公司通知：明天上午10点在301会议室召开项目评审会，请准时参加。",0,normal
"【中国天气】明日上海多云转晴，10-18℃，适合户外活动。",0,normal
"小明，周末有空打球吗？好久没见了，约一波。",0,normal
"支付宝到账：10.00元。",0,normal
"【银行】您尾号1234卡消费99.00元，如有疑问请致电955xx。",0,normal
"晚上想吃什么？我下班买点菜回去。",0,normal
"您已累计步数8000步，已完成今日目标，加油！",0,normal
"【美团】您的外卖订单已接单，预计30分钟后送达。",0,normal
"孩子的学费我已经交了，你不用管了。",0,normal
"今天下班顺路买瓶酱油，家里没了。",0,normal
"【10086】您本月话费余额23.5元，可充值享优惠。",0,normal
"周末去爬山吗？带点水和零食。",0,normal
"（以下为正常文本扩充，共200条，核心话术覆盖日常对话/快递/通知/消费/生活琐事，此处省略190条，可通过下方代码生成全量）",0,normal
"您好，我是北京市公安局民警，你名下银行卡涉嫌洗钱，请配合调查并将资金转入安全账户。",1,fake_public_security
"警方通知：你的账户涉嫌非法交易，需立即转入安全账户证明清白，否则冻结所有资产。",1,fake_public_security
"我是最高人民法院工作人员，你有一张法院传票未领取，需缴纳保证金解除限制。",1,fake_public_security
"市社保局：你的社保账户异常，涉嫌违规使用，需提供银行卡号核验身份。",1,fake_public_security
"海关稽查：你的包裹涉嫌走私，需缴纳罚款解冻，否则追究法律责任。",1,fake_public_security
"亲，兼职刷单了解一下？一单返利20%，无需押金，一任务一结，加QQ:123456789。",1,fake_part_time
"抖音点赞兼职，每单5元，日结300+，只需垫付100元本金，做完立返。",1,fake_part_time
"跨境电商刷单，佣金30%，垫付200元，连做3单可提现，无风险。",1,fake_part_time
"淘宝刷单，商家返款快，无需垫资，加微信进群领任务，多做多得。",1,fake_part_time
"快手关注兼职，1分钟1单，一单3元，日赚200，扫码进群开始做。",1,fake_part_time
"【微粒贷】您有58000元贷款额度已到账，点击链接 t.cn/A1b2C3 提现，放款前需缴纳5%手续费。",1,fake_loan
"急用钱？无抵押秒批5万，利息0.01%，先交300元工本费即可放款。",1,fake_loan
"【借呗】您的额度提升至8万，点击激活需验证资金流水，缴500元保证金。",1,fake_loan
"网贷平台低息贷款，放款前需缴纳解冻金800元，到账后退还。",1,fake_loan
"黑户也能贷！无需征信，只需身份证，先交手续费600元，当天放款。",1,fake_loan
"（以下为诈骗文本扩充，共200条，覆盖10类诈骗核心话术，此处省略190条，可通过下方代码生成全量）",1,fake_investment
