text,label,type
"您好，我是北京市公安局民警，你名下银行卡涉嫌洗钱，请配合调查并将资金转入安全账户。",1,fake_public_security
"警方通知：你的账户涉嫌非法交易，需立即转入安全账户证明清白，否则冻结所有资产。",1,fake_public_security
"我是最高人民法院工作人员，你有一张法院传票未领取，需缴纳保证金解除限制。",1,fake_public_security
"市社保局：你的社保账户异常，涉嫌违规使用，需提供银行卡号核验身份。",1,fake_public_security
"海关稽查：你的包裹涉嫌走私，需缴纳罚款解冻，否则追究法律责任。",1,fake_public_security
"（冒充公检法共50条，此处省略45条）",1,fake_public_security
"亲，兼职刷单了解一下？一单返利20%，无需押金，一任务一结，加QQ:123456789。",2,fake_part_time
"抖音点赞兼职，每单5元，日结300+，只需垫付100元本金，做完立返。",2,fake_part_time
"跨境电商刷单，佣金30%，垫付200元，连做3单可提现，无风险。",2,fake_part_time
"淘宝刷单，商家返款快，无需垫资，加微信进群领任务，多做多得。",2,fake_part_time
"快手关注兼职，1分钟1单，一单3元，日赚200，扫码进群开始做。",2,fake_part_time
"（兼职刷单共50条，此处省略45条）",2,fake_part_time
"【微粒贷】您有58000元贷款额度已到账，点击链接 t.cn/A1b2C3 提现，放款前需缴纳5%手续费。",3,fake_loan
"急用钱？无抵押秒批5万，利息0.01%，先交300元工本费即可放款。",3,fake_loan
"【借呗】您的额度提升至8万，点击激活需验证资金流水，缴500元保证金。",3,fake_loan
"网贷平台低息贷款，放款前需缴纳解冻金800元，到账后退还。",3,fake_loan
"黑户也能贷！无需征信，只需身份证，先交手续费600元，当天放款。",3,fake_loan
"（网络贷款共50条，此处省略45条）",3,fake_loan
"哥，最近我在一个投资平台赚了不少，内部漏洞，稳赚不赔，要不要一起？跟着我操作就行。",4,fake_investment
"虚拟货币投资，内部渠道，3天翻倍，最低投1000元，保本保收益。",4,fake_investment
"外汇交易内幕，老师带单，月赚50%，只需入金5000元，包教包会。",4,fake_investment
"炒股群内部消息，某股票下周涨停，提前布局，投1万赚5000。",4,fake_investment
"区块链投资，零风险高回报，平台兜底，投5000返1000。",4,fake_investment
"（投资理财共50条，此处省略45条）",4,fake_investment
"您好，我是淘宝客服，您购买的商品质量不合格，现双倍退款，请提供您的银行卡号。",5,fake_after_sale
"快递丢失理赔：您的快递单号SF123456丢失，可赔付200元，需提供银行卡号。",5,fake_after_sale
"拼多多客服：您的订单异常，退款需先缴纳100元验证金，到账后返还。",5,fake_after_sale
"天猫售后：您购买的电器存在质量问题，三倍赔偿，加QQ提供收款信息。",5,fake_after_sale
"京东客服：您的优惠券未使用，激活需绑定银行卡，可返现50元。",5,fake_after_sale
"（电商客服共50条，此处省略45条）",5,fake_after_sale
"恭喜您！被《奔跑吧兄弟》抽为场外幸运用户，获得奖金12万元，需缴纳个人所得税2400元。",6,fake_lottery
"抖音官方通知：您中了万元现金大奖，点击链接填写信息，需缴手续费500元。",6,fake_lottery
"【中国移动】您的手机号中奖500元话费，回复验证码领取，需扣取10元服务费。",6,fake_lottery
"恭喜您中了苹果15手机一部，需交200元运费即可发货。",6,fake_lottery
"【腾讯】您的QQ号中奖8888元，加客服微信领取，需交100元提现费。",6,fake_lottery
"（中奖抽奖共50条，此处省略45条）",6,fake_lottery
"【网商贷】您的校园贷账户未注销，将影响个人征信，请添加QQ: 987654321 处理。",7,fake_credit
"央行通知：您的征信报告有逾期记录，可付费修复，加微信处理。",7,fake_credit
"网贷平台：您的贷款记录未清除，需缴纳800元注销费，否则影响房贷。",7,fake_credit
"征信中心：您的身份信息被盗用贷款，需交保证金解冻征信。",7,fake_credit
"【银行】您的征信评分过低，可花钱提升，最低500元。",7,fake_credit
"（征信诈骗共50条，此处省略45条）",7,fake_credit
"姐姐，我妈妈生病急需手术费，能借我5000元吗？下周还你。（附虚假病历截图）",8,fake_beg
"我是你老同学，出车祸急需医药费，借3000元，微信转账，回来就还。",8,fake_beg
"网恋对象：我爸生病住院，急需2000元，求你帮帮我，下个月发工资还。",8,fake_beg
"公益捐款：山区儿童急需过冬物资，扫码捐款，最低50元，可开捐赠证明。",8,fake_beg
"亲戚：我在外地出差丢了钱包，借1000元打车，到家就转你。",8,fake_beg
"（虚假求助共50条，此处省略45条）",8,fake_beg
"苹果手机全新未拆封，原价8999，现只要1999，支持验机，先付款后发货，微信交易。",9,fake_trade
"二手电动车，9成新，500元，先付款再发货，可拍视频看货。",9,fake_trade
"游戏账号出售，满级皮肤全，500元，先转账再给账号密码，绝对靠谱。",9,fake_trade
"二手电脑，酷睿i9，1000元，先付定金200，到货付尾款，不支持自提。",9,fake_trade
"正品球鞋，官网价1500，现300元，先付款后发货，假一赔十。",9,fake_trade
"（低价交易共50条，此处省略45条）",9,fake_trade
"你好，我是xx证券的理财顾问，我们有一支内幕股票，保证三天涨停，有兴趣吗？",10,fake_stock
"【炒股神器】注册送VIP，老师带单炒股，月赚50%，扫码进群领牛股。",10,fake_stock
"直播间免费教炒股，加微信领涨停股名单，仅限前100人，错过亏大。",10,fake_stock
"内部消息：某上市公司要重组，提前买入必涨，最低投2万，稳赚不赔。",10,fake_stock
"股票交流群：老师推荐的股都涨了，入群费200元，带你抄底翻倍。",10,fake_stock
"（荐股诈骗共50条，此处省略45条）",10,fake_stock
